SIRUTA,DENLOC,CODP,JUD,SIRSUP,TIP,NIV,MED,REGIUNE,FSJ,FSL,FS2,FS3,POND,rang,fictiv
2997,BERGHIN                          ,517110,1,2988,22,3,3,7,1,1.50005E+11,150005,1001007,1.61933E+13,IV ,
3002,GHIRBOM                          ,517111,1,2988,23,3,3,7,1,1.50006E+11,150005,3005246,2.12223E+13,V  ,
3011,HENIG                            ,517112,1,2988,23,3,3,7,1,1.50006E+11,150005,3005788,2219292321,V  ,
3020,STRAJA                           ,517113,1,2988,23,3,3,7,1,1.50006E+11,150005,3011302,3.43633E+11,V  ,
3039,BISTRA                           ,0,1,10,3,2,3,7,1,1.50006E+11,1,       ,1.62334E+11,IV ,
3048,BISTRA                           ,517115,1,3039,22,3,3,7,1,1.50006E+11,150006,1001102,1.62334E+11,IV ,
3057,ARONEŞTI                         ,517116,1,3039,23,3,3,7,1,1.50007E+11,150006,3000323,1.3333E+15,V  ,
3066,BĂLEŞTI                          ,517117,1,3039,23,3,3,7,1,1.50007E+11,150006,3000668,1.61627E+13,V  ,
3075,BĂLEŞTI-CĂTUN                    ,517118,1,3039,23,3,3,7,1,1.50007E+11,150006,3000670,1.61627E+25,V  ,
3084,BÂRLEŞTI                         ,517119,1,3039,23,3,3,7,1,1.50007E+11,150006,3000838,1.61533E+15,V  ,
3093,CHELETENI                        ,517121,1,3039,23,3,3,7,1,1.50007E+11,150006,3002578,1.72219E+17,V  ,
3100,CIULDEŞTI                        ,517122,1,3039,23,3,3,7,1,1.50007E+11,150006,3002894,1.72338E+17,V  ,
3119,CREŢEŞTI                         ,517123,1,3039,23,3,3,7,1,1.50007E+11,150006,3003549,1.73319E+15,V  ,
3137,DÂMBURENI                        ,517124,1,3039,23,3,3,7,1,1.50007E+11,150006,3003874,1.81528E+17,V  ,
3128,DEALU MUNTELUI                   ,517126,1,3039,23,3,3,7,1,1.50007E+11,150006,3003948,1.81913E+27,V  ,
3146,DURĂŞTI                          ,517127,1,3039,23,3,3,7,1,1.50007E+11,150006,3004481,1.83833E+13,V  ,
3155,GĂNEŞTI                          ,517128,1,3039,23,3,3,7,1,1.50007E+11,150006,3005039,2.12129E+13,V  ,
3164,GÂRDE                            ,517129,1,3039,23,3,3,7,1,1.50007E+11,150006,3005100,2115331819,V  ,
3173,HODIŞEŞTI                        ,517131,1,3039,23,3,3,7,1,1.50007E+11,150006,3005846,2.23018E+17,V  ,
3182,HUDRICEŞTI                       ,517132,1,3039,23,3,3,7,1,1.50007E+11,150006,3005947,2.23818E+19,V  ,
3191,LIPAIA                           ,517133,1,3039,23,3,3,7,1,1.50007E+11,150006,3006644,2.72331E+11,V  ,
3208,LUNCA LARGĂ                      ,517134,1,3039,23,3,3,7,1,1.50007E+11,150006,3006836,2.73829E+21,V  ,
3217,LUNCA MERILOR                    ,517136,1,3039,23,3,3,7,1,1.50007E+11,150006,3006841,2.73829E+25,V  ,
3226,MIHĂIEŞTI                        ,517137,1,3039,23,3,3,7,1,1.50007E+11,150006,3007473,2.82322E+17,V  ,
